Bureau,-58,-57,-57,-57,-67
Bureau,-72,-64,-72,-64,-62
Bureau,-56,-58,-56,-58,-67
Bureau,-70,-64,-71,-63,-61
Bureau,-58,-58,-58,-58,-69
Bureau,-71,-63,-72,-63,-60
Bureau,-59,-57,-59,-57,-67
Bureau,-66,-63,-65,-63,-60
Bureau,-73,-64,-72,-64,-61
Bureau,-60,-58,-59,-58,-68
Bureau,-70,-63,-70,-63,-61
Bureau,-58,-59,-58,-60,-69
Bureau,-70,-64,-68,-63,-61
Bureau,-58,-57,-58,-57,-66
Bureau,-66,-64,-65,-64,-61
Bureau,-59,-57,-59,-56,-68
Bureau,-67,-64,-68,-64,-62
Bureau,-59,-58,-58,-58,-70
Bureau,-71,-62,-68,-63,-61
Bureau,-58,-58,-58,-58,-70
Bureau,-69,-58,-69,-58,-61
Bureau,-59,-57,-59,-57,-66
Bureau,-68,-62,-66,-62,-61
Bureau,-59,-57,-58,-57,-69
Bureau,-73,-64,-73,-64,-61
Bureau,-58,-57,-58,-57,-68
Bureau,-71,-65,-71,-65,-61
Bureau,-57,-58,-57,-58,-66
Bureau,-67,-63,-68,-63,-61
Bureau,-71,-62,-71,-62,-60
Bureau,-58,-59,-58,-59,-67
Bureau,-67,-61,-66,-60,-59
Bureau,-59,-58,-59,-57,-67
Bureau,-65,-58,-66,-57,-60
Bureau,-58,-58,-59,-58,-68
Bureau,-68,-62,-67,-62,-60
Bureau,-58,-58,-58,-58,-68
Bureau,-68,-64,-67,-64,-61
Bureau,-59,-60,-58,-60,-66
Bureau,-63,-59,-64,-59,-60
Bureau,-60,-57,-59,-57,-66
Bureau,-66,-54,-60,-55,-67
Bureau,-60,-55,-59,-54,-68
Bureau,-65,-59,-59,-59,-66
Bureau,-66,-59,-65,-59,-66
Bureau,-66,-57,-67,-58,-72
Bureau,-66,-53,-67,-53,-72
Bureau,-64,-54,-63,-54,-70
Bureau,-63,-56,-63,-55,-65
Bureau,-61,-56,-61,-57,-67
