Bureau,-57,-56,-56,-56,-66
Bureau,-71,-63,-71,-63,-61
Bureau,-55,-57,-55,-57,-66
Bureau,-69,-63,-70,-62,-60
Bureau,-57,-57,-57,-57,-68
Bureau,-70,-62,-71,-62,-59
Bureau,-58,-56,-58,-56,-66
Bureau,-65,-62,-64,-62,-59
Bureau,-72,-63,-71,-63,-60
Bureau,-59,-57,-58,-57,-67
Bureau,-69,-62,-69,-62,-60
Bureau,-57,-58,-57,-59,-68
Bureau,-69,-63,-67,-62,-60
Bureau,-57,-56,-57,-56,-65
Bureau,-65,-63,-64,-63,-60
Bureau,-58,-56,-58,-55,-67
Bureau,-66,-63,-67,-63,-61
Bureau,-58,-57,-57,-57,-69
Bureau,-70,-61,-67,-62,-60
Bureau,-57,-57,-57,-57,-69
Bureau,-68,-57,-68,-57,-60
Bureau,-58,-56,-58,-56,-65
Bureau,-67,-61,-65,-61,-60
Bureau,-58,-56,-57,-56,-68
Bureau,-72,-63,-72,-63,-60
Bureau,-57,-56,-57,-56,-67
Bureau,-70,-64,-70,-64,-60
Bureau,-56,-57,-56,-57,-65
Bureau,-66,-62,-67,-62,-60
Bureau,-70,-61,-70,-61,-59
Bureau,-57,-58,-57,-58,-66
Bureau,-66,-60,-65,-59,-58
Bureau,-58,-57,-58,-56,-66
Bureau,-64,-57,-65,-56,-59
Bureau,-57,-57,-58,-57,-67
Bureau,-67,-61,-66,-61,-59
Bureau,-57,-57,-57,-57,-67
Bureau,-67,-63,-66,-63,-60
Bureau,-58,-59,-57,-59,-65
Bureau,-62,-58,-63,-58,-59
Bureau,-59,-56,-58,-56,-65
Bureau,-65,-53,-59,-54,-66
Bureau,-59,-54,-58,-53,-67
Bureau,-64,-58,-58,-58,-65
Bureau,-65,-58,-64,-58,-65
Bureau,-65,-56,-66,-57,-71
Bureau,-65,-52,-66,-52,-71
Bureau,-63,-53,-62,-53,-69
Bureau,-62,-55,-62,-54,-64
Bureau,-60,-55,-60,-56,-66
Escalier,-67,-71,-65,-71,-72
Escalier,-78,-71,-78,-71,-71
Escalier,-78,-74,-78,-74,-62
Escalier,-66,-71,-65,-71,-69
Escalier,-71,-72,-70,-72,-73
Escalier,-67,-71,-67,-71,-69
Escalier,-67,-72,-66,-71,-72
Escalier,-68,-61,-68,-61,-78
Escalier,-80,-73,-81,-72,-76
Escalier,-78,-77,-76,-77,-70
Escalier,-66,-68,-67,-68,-79
Escalier,-61,-66,-61,-67,-67
Escalier,-69,-74,-69,-74,-71
Escalier,-70,-73,-70,-73,-74
Escalier,-70,-76,-70,-76,-82
Escalier,-70,-77,-70,-78,-78
Escalier,-78,-72,-77,-73,-69
Escalier,-83,-69,-82,-69,-76
Escalier,-77,-71,-77,-67,-75
Escalier,-77,-83,-77,-81,-70
Escalier,-75,-78,-75,-79,-74
Escalier,-76,-79,-77,-77,-72
Escalier,-79,-75,-78,-75,-68
Escalier,-63,-69,-63,-69,-65
Escalier,-72,-74,-72,-74,-69
Escalier,-69,-74,-68,-73,-67
Escalier,-71,-80,-70,-80,-76
Escalier,-74,-68,-75,-68,-68
Escalier,-68,-71,-67,-72,-72
Escalier,-70,-70,-68,-70,-65
